Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,10.170000,10.450000,10.160000,10.400000,10.054069,28408100
2020-06-09,10.180000,10.520000,10.070000,10.360000,10.015399,32069600
2020-06-10,10.500000,10.500000,10.010000,10.030000,9.696377,40216500
2020-06-12,9.700000,9.870000,9.550000,9.790000,9.464361,47426700
2020-06-15,9.460000,9.730000,9.410000,9.560000,9.242011,30138200
2020-06-16,9.890000,9.920000,9.650000,9.760000,9.435360,22358100
2020-06-17,9.810000,10.060000,9.760000,9.930000,9.599703,27115900
2020-06-18,9.890000,10.350000,9.860000,10.250000,9.909060,30387700
2020-06-19,10.430000,10.470000,10.210000,10.410000,10.063739,41011300
2020-06-22,10.370000,10.400000,10.040000,10.150000,9.812386,33664700
2020-06-23,10.280000,10.330000,9.940000,10.060000,9.725379,29460000
2020-06-24,10.030000,10.050000,9.730000,9.770000,9.445028,31399600
2020-06-25,9.830000,10.000000,9.710000,9.960000,9.628707,26714500
2020-06-26,9.830000,9.910000,9.590000,9.660000,9.338683,41437200
2020-06-29,9.740000,9.900000,9.660000,9.890000,9.561033,44612700
2020-06-30,9.800000,9.850000,9.580000,9.590000,9.271012,38928400
2020-07-01,9.670000,9.870000,9.640000,9.790000,9.464361,25626700
2020-07-02,9.940000,10.190000,9.910000,9.950000,9.619040,30019900
2020-07-03,9.950000,10.040000,9.840000,9.970000,9.638371,10581700
2020-07-06,10.180000,10.390000,10.110000,10.360000,10.015399,25844600
2020-07-07,10.280000,10.310000,9.970000,9.990000,9.657706,43404900
2020-07-08,10.080000,10.220000,10.040000,10.170000,9.831720,22038600
2020-07-09,10.190000,10.240000,10.070000,10.200000,9.860722,23126900
2020-07-10,10.150000,10.260000,10.070000,10.230000,9.889725,16070300
2020-07-13,10.250000,10.320000,10.040000,10.040000,9.706044,20869000
2020-07-14,10.050000,10.180000,9.950000,10.160000,9.822052,19129900
2020-07-15,10.250000,10.350000,10.180000,10.270000,9.928394,20323100
2020-07-16,10.200000,10.250000,10.130000,10.150000,9.812386,13499100
2020-07-17,10.190000,10.330000,10.160000,10.270000,9.928394,20885300
2020-07-20,10.300000,10.480000,10.220000,10.420000,10.073403,28905900
2020-07-21,10.500000,10.630000,10.470000,10.520000,10.170079,26798100
2020-07-22,10.570000,10.740000,10.420000,10.520000,10.170079,67799300
2020-07-23,10.530000,10.580000,10.350000,10.370000,10.025069,29955600
2020-07-24,10.330000,10.610000,10.220000,10.450000,10.102406,39649300
2020-07-27,10.470000,11.090000,10.440000,11.020000,10.653449,46561900
2020-07-28,10.950000,11.100000,10.880000,10.880000,10.518104,27149600
2020-07-29,11.070000,11.160000,10.910000,11.130000,10.759789,25267100
2020-07-30,10.970000,11.030000,10.760000,10.910000,10.547107,34549800
2020-07-31,10.960000,10.970000,10.610000,10.670000,10.315090,34401100
2020-08-03,10.730000,10.900000,10.530000,10.700000,10.344090,26011100
2020-08-04,10.410000,10.590000,10.130000,10.210000,9.870391,61769200
2020-08-05,10.340000,10.390000,10.060000,10.200000,9.860722,36073000
2020-08-06,10.220000,10.380000,10.140000,10.320000,9.976731,24075900
2020-08-07,10.200000,10.490000,10.130000,10.210000,9.870391,34845300
2020-08-10,10.250000,10.420000,10.160000,10.360000,10.015399,21631800
2020-08-11,10.420000,10.470000,10.200000,10.200000,9.860722,18034400
2020-08-12,10.260000,10.280000,9.970000,10.110000,9.773716,36326400
2020-08-13,10.170000,10.250000,9.850000,9.860000,9.532032,33293200
2020-08-14,9.910000,10.050000,9.840000,9.930000,9.599703,21939200
2020-08-17,9.890000,9.910000,9.560000,9.630000,9.309683,35809300
2020-08-18,9.830000,9.850000,9.710000,9.800000,9.493746,30128900
2020-08-19,9.850000,9.860000,9.730000,9.730000,9.425933,22613800
2020-08-20,9.580000,9.750000,9.520000,9.670000,9.367807,32092300
2020-08-21,9.650000,9.730000,9.590000,9.730000,9.425933,22341100
2020-08-24,9.780000,9.970000,9.780000,9.830000,9.522807,19758100
2020-08-25,9.900000,9.920000,9.700000,9.750000,9.445308,22430100
2020-08-26,9.750000,9.770000,9.470000,9.610000,9.328817,23687500
2020-08-27,9.600000,9.850000,9.580000,9.690000,9.406478,21551100
2020-08-28,9.770000,9.810000,9.680000,9.780000,9.493844,21112700
2020-08-31,9.730000,9.730000,9.430000,9.430000,9.154086,38993900
2020-09-01,9.540000,9.720000,9.520000,9.720000,9.455656,25321400
2020-09-02,9.740000,9.760000,9.530000,9.590000,9.329191,25646600
